Model,gradient_variant,seed,rho,SINR,SNRinp_target,SNRinp_measured,execution_time,n_sources,n_mixtures,n_samples,presumed_domain,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,truncated,0,0.0,26.79577259085745,30.0,30.009611208165627,25.352983493939973,5,10,100000,antisparse,26.265338049231172,30.15194982873835,26.08451355634167,24.52703370310978,29.428081398739128
PredictiveDecorrBSS,full,0,0.0,26.81612922414434,30.0,30.009611208165627,11.074473268003203,5,10,100000,antisparse,26.273390732017496,30.1489647674329,26.087114293849076,24.58149039247273,29.427446324441398
PredictiveDecorrBSS,truncated,100,0.0,23.143507450201135,30.0,30.008782851829782,7.908378735999577,5,10,100000,antisparse,27.082491692929516,25.263701523623197,24.371862085126054,21.42308085369305,20.73242517796818
PredictiveDecorrBSS,full,100,0.0,3.9977690619601614,30.0,30.008782851829782,7.691984586999752,5,10,100000,antisparse,26.917354800242208,25.238587331920094,24.564567774186912,21.750814039864576,0.0006543516903266006
PredictiveDecorrBSS,truncated,200,0.0,24.403381090686494,30.0,30.01046900531909,7.197779832058586,5,10,100000,antisparse,22.740811727254155,24.91964196429499,25.082744984457523,23.488180102595674,26.965296231637012
PredictiveDecorrBSS,full,200,0.0,24.433019016404963,30.0,30.01046900531909,7.656699478975497,5,10,100000,antisparse,22.740769982685677,24.952105709381016,25.109755423631633,23.55447406243348,26.992109116519263
PredictiveDecorrBSS,truncated,300,0.0,24.917390807920945,30.0,29.994299888952543,7.180895561934449,5,10,100000,antisparse,28.394827636053876,26.515532199402596,23.697201789682232,23.209297057788,24.693966483492787
PredictiveDecorrBSS,full,300,0.0,24.920757778710623,30.0,29.994299888952543,8.00096187600866,5,10,100000,antisparse,28.39147557527257,26.514261533731993,23.690050116296387,23.220514756210658,24.70544334187649
PredictiveDecorrBSS,truncated,400,0.0,25.48386407420805,30.0,30.011675235863198,7.442244317964651,5,10,100000,antisparse,26.361173821055495,24.750744501209915,26.80581469190549,24.613985459732657,25.312853074198593
PredictiveDecorrBSS,full,400,0.0,25.48711975217256,30.0,30.011675235863198,7.840097903041169,5,10,100000,antisparse,26.336855965293307,24.76029158594489,26.830478398551456,24.61175292378799,25.321878689237515
PredictiveDecorrBSS,truncated,500,0.0,25.215175153225484,30.0,30.015596232775085,7.571475498960353,5,10,100000,antisparse,24.563993471083492,26.244407870955484,24.94783227421124,24.50563899768838,26.138620280800147
